Sıra,Model Name,H,Wtwo,Pone,Ptwo,P,Dxdxg1,W,L,Lone,htwo,Wone,Hone,Mxg2,Mone,T,None,Ntwo,Ntheree,E,Sone,Stwo,Stheree,Sfour,C,Czero,Mrzero,Mpzero,Myzero,Block(g),Rail(g/m),Category
71,AR 15 MN,24.0,9.5,26.0,26.0,60.0,"7,5x4,5x5,3",34.0,56.1,39.5,20.1,15.0,15.0,M4x7,0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,17.5,140.0,100.0,100.0,140.0,1290.0,
72,AR 15 FS,24.0,18.5,0.0,41.0,60.0,"7,5x4,5x5,3",52.0,40.8,24.2,20.1,15.0,15.0,M5x7,M4,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.4,10.8,80.0,80.0,40.0,120.0,1290.0,
73,AR 15 FN,24.0,18.5,26.0,41.0,60.0,"7,5x4,5x5,3",52.0,56.1,39.5,20.1,15.0,15.0,M5x7,M4,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,17.5,140.0,220.0,100.0,180.0,1290.0,
74,AR 20 MS,28.0,11.0,0.0,32.0,60.0,"9,5x6x8,7",42.0,48.2,30.0,22.5,20.0,20.0,M6x9,0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.9,16.3,170.0,80.0,80.0,148.0,2280.0,
75,AR 20 MN,28.0,11.0,32.0,32.0,60.0,"9,5x6x8,8",42.0,70.2,52.0,22.5,20.0,20.0,M6x9,0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,15.6,29.8,310.0,220.0,220.0,260.0,2280.0,
76,AR 20 FS,28.0,19.5,0.0,49.0,60.0,"9,5x6x8,8",59.0,48.2,30.0,22.5,20.0,20.0,M6x9,M5,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.9,16.3,170.0,80.0,80.0,185.0,2280.0,
77,AR 20 FN,28.0,19.5,32.0,49.0,60.0,"9,5x6x8,8",59.0,70.2,52.0,22.5,20.0,20.0,M6x9,M5,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,15.6,29.8,310.0,220.0,220.0,299.0,2280.0,
78,AR 25 MS,33.0,12.5,0.0,35.0,60.0,11x7x9,48.0,57.2,37.0,26.6,23.0,23.0,M6x9,0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.3,21.4,220.0,110.0,110.0,285.0,3020.0,
79,AR 25 MN,33.0,12.5,35.0,35.0,60.0,11x7x9,48.0,80.2,60.0,26.6,23.0,23.0,M6x9,0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,18.8,36.4,410.0,300.0,300.0,380.0,3020.0,
80,AR 25 FS,33.0,25.0,0.0,60.0,60.0,11x7x14,73.0,57.2,37.0,26.6,23.0,23.0,M8x10,M6,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.3,21.4,220.0,110.0,110.0,325.0,3020.0,
81,AR 25 FN,33.0,25.0,35.0,60.0,60.0,11x7x15,73.0,80.2,60.0,26.6,23.0,23.0,M8x10,M6,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,18.8,36.4,410.0,300.0,300.0,440.0,3020.0,
82,WRC 21/15 MN,21.0,8.5,19.0,31.0,50.0,"7,5x4,5x5,3",54.0,57.5,40.3,18.3,37.0,14.4,M5x5,0,6.0,M3,M3x3,P3,3.5,3.3,6.1,13.9,11.9,9.9,17.5,315.0,105.0,105.0,160.0,3596.0,
83,WRC 21/15 FN,21.0,15.5,29.0,60.0,50.0,"7,5x4,5x5,3",68.0,57.5,40.3,18.3,37.0,14.4,M5x6,M4,6.0,M3,M3x3,P3,3.5,3.3,6.1,8.9,6.9,9.9,17.5,315.0,105.0,105.0,198.0,3596.0,
84,WRC 27/20 MN,27.0,10.0,32.0,46.0,60.0,"7,5x4,5x5,3",62.0,70.0,52.0,23.5,42.0,18.5,M6x6,0,10.0,M3,M3x4,P4,3.5,4.5,8.0,13.2,11.5,17.1,21.5,315.0,230.0,230.0,320.0,5259.0,
85,WRC 27/20 FN,27.0,19.0,40.0,70.0,60.0,"7,5x4,5x5,3",80.0,70.0,52.0,23.5,42.0,18.5,M6x9,M4,9.0,M3,M3x4,P4,3.5,4.5,8.0,9.2,7.5,17.1,21.5,634.0,230.0,230.0,553.0,5259.0,
86,WRC 21/15 MN,21.0,8.5,19.0,31.0,50.0,"7,5x4,5x5,3",54.0,57.5,40.3,18.3,37.0,14.4,M5x5,0,6.0,M3,M3x3,P3,3.5,3.3,6.1,13.9,11.9,11.8,16.2,295.0,95.0,95.0,159.0,3596.0,
87,WRC21/15FN,21.0,15.5,29.0,60.0,50.0,"7,5x4,5x5,3",68.0,57.5,40.3,18.3,37.0,14.4,M5x6,M4,6.0,M3,M3x3,P3,3.5,3.3,6.1,8.9,6.9,11.8,16.2,295.0,95.0,95.0,197.5,3596.0,
88,WRC 27/20 MN,27.0,10.0,32.0,46.0,60.0,"7,5x4,5x5,3",62.0,70.0,52.0,23.5,42.0,18.5,M6x6,0,10.0,M3,M3x4,P4,3.5,4.5,8.0,13.2,11.5,22.3,25.7,535.0,200.0,200.0,318.0,5259.0,
89,WRC 27/20 FN,27.0,19.0,40.0,70.0,60.0,"7,5x4,5x5,3",80.0,70.0,52.0,23.5,42.0,18.5,M6x9,M4,9.0,M3,M3x4,P4,3.5,4.5,8.0,9.2,7.5,22.3,25.7,535.0,200.0,200.0,550.0,5259.0,
90,ARR 35 MN,48.0,18.0,50.0,50.0,40.0,14x9x17,70.0,122.0,84.0,42.0,34.0,31.0,M8x13,0,13.0,M6x12,M6x8,P5,12.0,10.0,16.4,25.0,25.0,57.0,154.0,2742.0,1946.0,1946.0,1200.0,5740.0,
91,ARR 35 ML,48.0,18.0,72.0,50.0,40.0,14x9x18,70.0,147.5,109.5,42.0,34.0,31.0,M8x13,0,13.0,M6x12,M6x9,P6,12.0,10.0,16.4,26.7,26.7,68.9,196.0,3525.0,3226.0,3226.0,1750.0,5740.0,
92,HRR 35 MN,55.0,18.0,50.0,50.0,40.0,14x9x19,70.0,122.0,84.0,49.0,34.0,31.0,M8x16,0,13.0,M6x13,M6x10,P7,12.0,17.0,23.4,25.0,25.0,57.0,154.0,2742.0,1946.0,1946.0,1720.0,5740.0,
93,HRR 35 ML,55.0,18.0,72.0,50.0,40.0,14x9x20,70.0,147.5,109.5,49.0,34.0,31.0,M8x16,0,13.0,M6x14,M6x11,P8,12.0,17.0,23.4,26.7,26.7,68.9,196.0,3525.0,3226.0,3226.0,2100.0,5740.0,
94,HRR 35 MXL,55.0,18.0,100.0,50.0,40.0,14x9x21,70.0,177.5,139.5,49.0,34.0,31.0,M8x16,0,13.0,M6x15,M6x12,P9,12.0,17.0,23.4,27.7,27.7,82.0,245.0,4439.0,5111.0,5111.0,2700.0,5740.0,
95,LRR 35 MN,44.0,18.0,50.0,50.0,40.0,14x9x22,70.0,122.0,84.0,38.0,34.0,31.0,M8x12,0,9.0,M6x16,M6x13,P10,12.0,6.0,12.4,25.0,25.0,57.0,154.0,2742.0,1946.0,1946.0,1100.0,5740.0,
96,LRR 35 ML,44.0,18.0,72.0,50.0,40.0,14x9x23,70.0,147.5,109.5,38.0,34.0,31.0,M8x12,0,9.0,M6x17,M6x14,P11,12.0,6.0,12.4,26.7,26.7,68.9,196.0,3525.0,3226.0,3226.0,1500.0,5740.0,
97,LRR 35 MXL,44.0,18.0,100.0,50.0,40.0,14x9x24,70.0,177.5,109.5,38.0,34.0,31.0,M8x12,0,9.0,M6x18,M6x15,P12,12.0,6.0,12.4,27.7,27.7,82.0,245.0,4439.0,5111.0,5111.0,900.0,5740.0,
98,HRR 35 FN,48.0,33.0,62.0,82.0,40.0,14x9x17,100.0,122.0,84.0,42.0,34.0,31.0,M10x15,M8,13.0,M6x12,M6x8,P5,12.0,10.0,16.4,19.0,19.0,57.0,154.0,2742.0,1946.0,1946.0,1700.0,5740.0,
